CustomerID,CustomerName,Recency,Frequency,Monetary,RFM_Score,Segment,Cluster
2041,Naomi Mwanza,761,1,72345,122,At Risk,1.0
2042,Joel Odongo,726,1,89012,124,Big Spenders,2.0
2043,Gladys Kimutai,690,1,56789,121,At Risk,1.0
2044,Kelvin Nganga,655,1,93456,124,Big Spenders,2.0
2045,Diana Odera,619,1,68901,222,Others,1.0
2046,Martin Mwiti,584,1,85678,223,Others,2.0
2047,Angela Nyandiek,548,1,62345,221,Others,1.0
2048,Lawrence Kibiwott,512,1,78901,223,Others,2.0
2049,Jacqueline Omondi,476,1,54678,221,Others,1.0
2050,Stanley Nyagah,441,1,91234,324,Big Spenders,0.0
2051,Eunice Kiprono,405,1,67890,332,Others,3.0
2052,Gideon Wanjohi,369,1,84567,333,Others,0.0
2053,Maureen Ouma,336,1,72345,332,Others,3.0
2054,Amos Mwale,300,1,89012,334,Big Spenders,0.0
2055,Edith Kariuki,264,1,56789,431,Loyal Customers,3.0
2056,Elijah Nyabuto,229,1,93456,434,Loyal Customers,0.0
2057,Tabitha Mutisya,193,1,68901,432,Loyal Customers,3.0
2058,Abraham Mwanza,157,1,85678,433,Loyal Customers,0.0
2059,Hellen Odongo,122,1,62345,431,Loyal Customers,3.0
2060,Emmanuel Kimutai,86,1,78901,433,Loyal Customers,0.0
2061,Phyllis Nganga,781,1,54678,131,At Risk,1.0
2062,Geoffrey Odera,745,1,91234,134,Big Spenders,2.0
2063,Winifred Mwiti,711,1,67890,132,At Risk,1.0
2064,Julius Nyandiek,675,1,84567,133,At Risk,2.0
2065,Leah Kibiwott,640,1,72345,132,At Risk,1.0
2066,Mathew Omondi,604,1,89012,234,Big Spenders,2.0
2067,Esther Nyagah,568,1,56789,231,Others,1.0
2068,Joseph Kiprono,532,1,93456,234,Big Spenders,2.0
2069,Lydia Wanjohi,497,1,68901,232,Others,1.0
2070,Samuel Ouma,461,1,85678,233,Others,2.0
2071,Grace Mwale,426,1,62345,331,Others,3.0
2072,Isaac Kariuki,390,1,78901,333,Others,0.0
2073,Mary Nyabuto,356,1,54678,331,Others,3.0
2074,Peter Mutisya,320,1,91234,334,Big Spenders,0.0
2075,Faith Mwanza,285,1,67890,332,Others,3.0
2076,Paul Odongo,249,1,84567,443,Loyal Customers,0.0
2077,Rebecca Kimutai,214,1,72345,442,Loyal Customers,3.0
2078,Thomas Nganga,178,1,89012,444,Champions,0.0
2079,Janet Odera,142,1,56789,441,Loyal Customers,3.0
2080,Simon Mwiti,106,1,93456,444,Champions,0.0
2081,Lucy Nyandiek,771,1,68901,142,Frequent Buyers,1.0
2082,Henry Kibiwott,735,1,85678,143,Frequent Buyers,2.0
2083,Caroline Omondi,701,1,62345,141,Frequent Buyers,1.0
2084,Stephen Nyagah,665,1,78901,143,Frequent Buyers,2.0
2085,Veronica Kiprono,629,1,54678,141,Frequent Buyers,1.0
2086,Bernard Wanjohi,594,1,91234,244,Frequent Buyers,2.0
2087,Monica Ouma,558,1,67890,242,Frequent Buyers,1.0
2088,Andrew Mwale,522,1,84567,243,Frequent Buyers,2.0
2089,Catherine Kariuki,487,1,72345,242,Frequent Buyers,1.0
2090,Philip Nyabuto,421,1,89012,344,Frequent Buyers,0.0
2091,Ruth Mutisya,384,1,56789,341,Frequent Buyers,3.0
2092,Mark Mwanza,351,1,93456,344,Frequent Buyers,0.0
2093,Brenda Odongo,315,1,68901,342,Frequent Buyers,3.0
2094,Kenneth Kimutai,280,1,85678,343,Frequent Buyers,0.0
2095,Winnie Nganga,244,1,62345,441,Loyal Customers,3.0
2096,Wilson Odera,209,1,78901,443,Loyal Customers,0.0
2097,Evelyn Mwiti,172,1,54678,441,Loyal Customers,3.0
2098,Fredrick Nyandiek,137,1,91234,444,Champions,0.0
2099,Lilian Kibiwott,101,1,67890,442,Loyal Customers,3.0
2100,Nicholas Omondi,66,1,84567,443,Loyal Customers,0.0
